time,distance,lat,lng,velocity_smooth
0,0,-22.397324,-41.786552,0
1,2.5,-22.397305,-41.78654,0
2,5.6,-22.39729,-41.786514,2.8
3,8.8,-22.397272,-41.78649,2.933
4,11.9,-22.397257,-41.786465,2.975
5,15.5,-22.397242,-41.786434,3.1
6,18.6,-22.397228,-41.786407,3.22
7,21.8,-22.397215,-41.78638,3.24
8,25.1,-22.397203,-41.78635,3.26
9,28.1,-22.397192,-41.786324,3.24
10,31.5,-22.39718,-41.786293,3.2
11,34.5,-22.39717,-41.786266,3.18
12,37.9,-22.397158,-41.786236,3.22
13,41,-22.397144,-41.78621,3.18
14,44.1,-22.397133,-41.786182,3.2
15,47.2,-22.39712,-41.786156,3.14
16,50.3,-22.397106,-41.78613,3.16
17,53.5,-22.397093,-41.786102,3.12
18,56.3,-22.397078,-41.78608,3.06
19,59.7,-22.39706,-41.786053,3.12
20,62.8,-22.397043,-41.78603,3.12
21,65.9,-22.397024,-41.786007,3.12
22,68.6,-22.397007,-41.785988,3.02
23,72,-22.396986,-41.785965,3.14
24,75.2,-22.396967,-41.785942,3.1
25,78.2,-22.396948,-41.78592,3.08
26,81.1,-22.39693,-41.7859,3.04
27,84.2,-22.396912,-41.785877,3.12
28,86.9,-22.396894,-41.78586,2.98
29,89.7,-22.396877,-41.78584,2.9
30,92.8,-22.39686,-41.785816,2.92
31,95.5,-22.396843,-41.785797,2.88
32,98.2,-22.396826,-41.785778,2.8
33,101.2,-22.39681,-41.785755,2.86
34,103.9,-22.396793,-41.785736,2.84
35,106.8,-22.396778,-41.785713,2.8
36,109.7,-22.396763,-41.78569,2.84
37,112.6,-22.396748,-41.785667,2.88
38,115.6,-22.39673,-41.785645,2.88
39,118.7,-22.396715,-41.78562,2.96
40,121.5,-22.396698,-41.7856,2.94
41,124.8,-22.396683,-41.785572,3.02
42,127.8,-22.396666,-41.78555,3.04
43,131,-22.396648,-41.785526,3.08
44,134.2,-22.396631,-41.7855,3.1
45,137.3,-22.396614,-41.785477,3.16
46,140.6,-22.396597,-41.78545,3.16
47,143.5,-22.396582,-41.785427,3.14
48,146.8,-22.396566,-41.7854,3.16
49,149.6,-22.396551,-41.785378,3.08
50,153,-22.396536,-41.78535,3.14
51,155.7,-22.396523,-41.785328,3.02
52,159,-22.396507,-41.7853,3.1
53,161.7,-22.396492,-41.78528,2.98
54,164.8,-22.396477,-41.785255,3.04
55,167.6,-22.396461,-41.785233,2.92
56,170.5,-22.396446,-41.78521,2.96
57,173.4,-22.396431,-41.785187,2.88
58,176.5,-22.396414,-41.785164,2.96
59,179.4,-22.396399,-41.78514,2.92
60,182,-22.396383,-41.785122,2.88
61,185,-22.396366,-41.7851,2.9
62,187.7,-22.39635,-41.78508,2.86
63,190.6,-22.396334,-41.785057,2.82
64,193.6,-22.396318,-41.785034,2.84
65,196.3,-22.396301,-41.785015,2.86
66,199.2,-22.396286,-41.784992,2.84
67,201.9,-22.396273,-41.78497,2.84
68,204.8,-22.39626,-41.784946,2.84
69,207.9,-22.396246,-41.78492,2.86
70,210.6,-22.396233,-41.784897,2.86
71,213.8,-22.39622,-41.78487,2.92
72,216.5,-22.396208,-41.784847,2.92
73,219.7,-22.396194,-41.78482,2.98
74,222.3,-22.396183,-41.784798,2.88
75,225.4,-22.396172,-41.78477,2.96
76,228.1,-22.396158,-41.784748,2.86
77,230.9,-22.396145,-41.784725,2.88
78,233.8,-22.39613,-41.784702,2.82
79,237,-22.396114,-41.784676,2.94
80,239.9,-22.3961,-41.784653,2.9
81,242.8,-22.396084,-41.78463,2.94
82,245.7,-22.396069,-41.784607,2.96
83,248.5,-22.396055,-41.784584,2.94
84,251.4,-22.396042,-41.78456,2.88
85,253.9,-22.39603,-41.78454,2.8
86,256.8,-22.396017,-41.784515,2.8
87,259.8,-22.396004,-41.78449,2.82
88,262.7,-22.39599,-41.784466,2.84
89,265.5,-22.395977,-41.784443,2.82
90,268.7,-22.395962,-41.784416,2.96
91,271.8,-22.395948,-41.78439,3
92,274.7,-22.395933,-41.784367,2.98
93,277.8,-22.39592,-41.78434,3.02
94,280.7,-22.395905,-41.784317,3.04
95,283.9,-22.395891,-41.78429,3.04
96,286.6,-22.39588,-41.784267,2.96
97,289.8,-22.395866,-41.78424,3.02
98,292.3,-22.395855,-41.784218,2.9
99,295.4,-22.395845,-41.78419,2.94
100,297.8,-22.395834,-41.78417,2.78
101,301.1,-22.395824,-41.78414,2.9
102,304,-22.395813,-41.784115,2.84
103,306.6,-22.395803,-41.784092,2.86
104,309.6,-22.395792,-41.784065,2.84
105,312.5,-22.39578,-41.78404,2.94
106,315.8,-22.39577,-41.78401,2.94
107,318.4,-22.395756,-41.78399,2.88
108,321.5,-22.395744,-41.783962,2.98
109,324.2,-22.395731,-41.78394,2.92
110,327.2,-22.395716,-41.783916,2.94
111,330,-22.395702,-41.783894,2.84
112,332.9,-22.395687,-41.78387,2.9
113,335.8,-22.395672,-41.783848,2.86
114,338.6,-22.395658,-41.783825,2.88
115,341.5,-22.395643,-41.783802,2.86
116,343.9,-22.39563,-41.783783,2.78
117,346.7,-22.395617,-41.78376,2.76
118,349.7,-22.395601,-41.783737,2.78
119,351.9,-22.395588,-41.78372,2.66
120,354.9,-22.395575,-41.783695,2.68
121,357.4,-22.395561,-41.783676,2.7
122,360.2,-22.395548,-41.783653,2.7
123,362.9,-22.395536,-41.78363,2.64
124,365.3,-22.395525,-41.78361,2.68
125,367.5,-22.395514,-41.783592,2.52
126,369.7,-22.395504,-41.783573,2.46
127,371.9,-22.395496,-41.783554,2.34
128,374,-22.395489,-41.783535,2.22
129,375.8,-22.395481,-41.78352,2.1
130,377.7,-22.395472,-41.783504,2.04
131,379.4,-22.395464,-41.78349,1.94
132,381.2,-22.395456,-41.783474,1.86
133,382.6,-22.395449,-41.783463,1.72
134,384.2,-22.395441,-41.78345,1.68
135,385.5,-22.395435,-41.78344,1.56
136,386.6,-22.39543,-41.78343,1.44
137,388,-22.395428,-41.783417,1.36
138,388.8,-22.395424,-41.78341,1.24
139,390.1,-22.395424,-41.783398,1.18
140,391.3,-22.395422,-41.783386,1.16
141,392,-22.39542,-41.78338,1.08
142,393.3,-22.395418,-41.783367,1.06
143,394.5,-22.395416,-41.783356,1.14
144,395.3,-22.395414,-41.783348,1.04
145,396.5,-22.39541,-41.783337,1.04
146,397.4,-22.395405,-41.78333,1.08
147,398.8,-22.395401,-41.783318,1.1
148,399.8,-22.395395,-41.78331,1.06
149,401.1,-22.395388,-41.7833,1.16
150,402.6,-22.395382,-41.783287,1.22
151,403.9,-22.395376,-41.783276,1.3
152,405.4,-22.395369,-41.783264,1.32
153,406.9,-22.39536,-41.783253,1.42
154,408.4,-22.395353,-41.78324,1.46
155,409.7,-22.395346,-41.78323,1.42
156,411.2,-22.395336,-41.78322,1.46
157,413.1,-22.395329,-41.783203,1.54
158,414.9,-22.395319,-41.78319,1.6
159,416.6,-22.395311,-41.783176,1.64
160,418.8,-22.395302,-41.783157,1.82
161,420.6,-22.395294,-41.783142,1.88
162,422.7,-22.395287,-41.783123,1.92
163,424.9,-22.395277,-41.783104,2
164,427,-22.39527,-41.783085,2.08
165,429.3,-22.39526,-41.783066,2.1
166,431.5,-22.39525,-41.783047,2.18
167,433.8,-22.39524,-41.783028,2.22
168,435.9,-22.39523,-41.78301,2.2
169,438.4,-22.395218,-41.78299,2.28
170,440.4,-22.395208,-41.782974,2.22
171,442.7,-22.395197,-41.782955,2.24
172,444.7,-22.395185,-41.78294,2.18
173,447.1,-22.395174,-41.78292,2.24
174,449,-22.395163,-41.782906,2.12
175,450.8,-22.395151,-41.782894,2.08
176,452.7,-22.39514,-41.78288,2
177,455,-22.395126,-41.782863999999996,2.06
178,457.4,-22.395113,-41.782845,2.06
179,459.8,-22.395102,-41.782825,2.16
180,462.3,-22.395088,-41.782806,2.3
181,464.7,-22.395075,-41.782787,2.4
182,467.4,-22.395063,-41.782764,2.48
183,469.7,-22.395052,-41.782745,2.46
184,472.5,-22.39504,-41.782722,2.54
185,474.9,-22.395031,-41.7827,2.52
186,477.6,-22.395021,-41.782677,2.58
187,480.2,-22.39501,-41.782654,2.56
188,482.9,-22.395,-41.78263,2.64
189,485.5,-22.39499,-41.782608,2.6
190,488,-22.394981,-41.782585,2.62
191,490.6,-22.394972,-41.782562,2.6
192,493.2,-22.39496,-41.78254,2.6
193,495.9,-22.39495,-41.782516,2.6
194,498.4,-22.394941,-41.782494,2.58
195,501.2,-22.39493,-41.782470000000004,2.64
196,503.8,-22.394918,-41.782448,2.64
197,506.4,-22.394909,-41.782425,2.64
198,509.3,-22.394897,-41.7824,2.68
